Representative_ligand,Zinc_result,SMILES
NDG,"('ZINC000003870077', 'CC(=O)N[C@@H]1[C@@H](O)O[C@@H](CO)[C@@H](O)[C@@H]1O\n')",CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O
BMA,"('ZINC000000901155', 'OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O\n')",OC[C@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O
M7G,"('ZINC000013548083', 'CN1CN([C@@H]2O[C@H](CO[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21\n')",CN1CN([C@@H]2O[C@H](CO[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)C2=C1C(=O)NC(N)=N2
RVP,"('ZINC000005372450', 'NC(=O)c1ncn([C@@H]2O[C@@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O)n1\n')",NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)n1
5LP,"('ZINC000048840417', 'Nc1ccccc1NC(=O)Nc1cc(Cl)ccc1C(=O)O\n')",Cc1ccc(C(=O)O)c(NC(=O)Nc2ccc(Cl)cc2N)c1
5GP,"('ZINC000003869965', 'Nc1nc2c(ncn2[C@@H]2O[C@@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O)c(=O)[nH]1\n')",NC1=Nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)C(=O)N1
VWS,"('ZINC000004660894', 'Cc1oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2c1C(=O)O\n')",Cc1oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2c1C(=O)O
GTA,"('ZINC000085603218', 'Nc1nc2c(ncn2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)O[P@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1\n')",C[n+]1cn([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c2c1C(=O)NC(N)=N2
2CQ,"('ZINC000000153342', 'Cc1cc(N)c(N)cc1Cl\n')",Cc1cc(N)c(N)cc1Cl
E5X,"('ZINC000000135484', 'O=C(O)c1ccc(CO)cc1\n')",O=C(O)c1ccc(CO)cc1
SFG,"('ZINC000038192472', 'Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[C@@H](N)CC[C@@H](N)C(=O)O)[C@@H](O)[C@H]1O\n')",Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[C@@H](N)CC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
3A9,"('ZINC000000039810', 'O=C(O)c1ccc2c(c1)CCO2\n')",O=C(O)c1ccc2c(c1)CCO2
LNN,"('ZINC000062720064', 'O=C(O)Cc1ccc(O)c(-c2ccccc2)c1\n')",O=C(O)Cc1ccc(O)c(c2ccccc2)c1
5UH,"('ZINC000034929344', 'COc1ccc(CC(=O)O)cc1-c1ccccc1\n')",COc1ccc(CC(=O)O)cc1c1ccccc1
SAH,"('ZINC000071755576', 'Nc1ncnc2c1ncn2[C@@H]1O[C@@H](CSCC[C@@H](N)C(=O)O)[C@@H](O)[C@H]1O\n')",Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
SER,"('ZINC000000895342', 'N[C@H](CO)C(=O)O\n')",N[C@@H](CO)C(=O)O
7HQ,"('ZINC000000043480', 'OCn1cnc2ccccc21\n')",OCn1cnc2ccccc21
BDF,"('ZINC000001532739', 'OC[C@]1(O)OC[C@H](O)[C@@H](O)[C@@H]1O\n')",OC[C@@]1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O
R2N,"('ZINC000009482840', 'Cn1c(C(=O)O)cc2cc(Br)ccc21\n')",Cn1c(C(=O)O)cc2cc(Br)ccc21
SIN,"('ZINC000000895030', 'O=C(O)CCC(=O)O\n')",O=C(O)CCC(=O)O
GLU,"('ZINC000001482113', 'N[C@@H](CCC(=O)O)C(=O)O\n')",N[C@@H](CCC(=O)O)C(=O)O
4M0,"('ZINC000000167235', 'Cc1ccc(C(=O)O)c(N)c1\n')",Cc1ccc(C(=O)O)c(N)c1
ARG,"('ZINC000002166829', 'NC(=O)NCCC[C@@H](N)C(=O)O\n')",NC(=[NH2+])NCCC[C@H](N)C(=O)O
X0V,"('ZINC000000092915', 'Nc1ccc(C(F)(F)F)cc1N\n')",Nc1ccc(C(F)(F)F)cc1N
TLA,"('ZINC000000895301', 'O=C(O)[C@H](O)[C@@H](O)C(=O)O\n')",O=C(O)[C@H](O)[C@@H](O)C(=O)O
LNW,"('ZINC000002005593', 'COc1cc(CC(=O)O)cc(-c2ccccc2)c1\n')",O=C(O)Cc1cc(CC(=O)O)cc(c2ccccc2)c1
5V6,"('ZINC000033427098', 'COc1ccc(CCN)cc1-c1ccsc1\n')",COc1ccc(CC(=O)O)cc1c1ccsc1
CHEMBL50588,"('ZINC000011679768', 'CC[C@@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@@H]1NCCc2cc(OC)c(OC)cc21\n')",CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21
CHEMBL4589719,"('ZINC000001864296', 'O=C(NC(=S)Nc1ccc(N2CCN(C(=O)c3cccs3)CC2)cc1)c1sc2ccccc2c1Cl\n')",O=C(NC(=S)Nc1ccc(N2CCN(C(=O)c3cccs3)CC2)cc1)c1sc2ccccc2c1Cl
CHEMBL4469323,"('ZINC000145402290', 'CC(C)OC(=O)[C@@H](C)N[P@@](=O)(OC[C@@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1\n')",C#C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc2ccccc2)O[C@H]1n1ccc(=O)[nH]c1=O
BEZ,"('ZINC000000001011', 'O=C(O)c1ccccc1\n')",O=C(O)c1ccccc1
CHEMBL1259059,"('ZINC000145402290', 'CC(C)OC(=O)[C@@H](C)N[P@@](=O)(OC[C@@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1\n')",CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1
5V5,"('ZINC000049850483', 'COc1ccc(CCC(=O)O)cc1-c1cccs1\n')",COc1ccc(CC(=O)O)cc1c1cccs1
CHEMBL49935,"('ZINC000003832327', 'Nc1ncnc2c1ncn2[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O\n')",Nc1ncnc2c1ncn2[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL1630221,"('ZINC000141581182', 'C#C[C@@]1(O)[C@@H](n2ccc3c(N)ncnc32)O[C@@H](CO)[C@H]1O\n')",C#C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1ccc2c(N)ncnc21
LYS,"('ZINC000001532522', 'NCCCC[C@H](N)C(=O)O\n')",N[C@@H](CCCC[NH3+])C(=O)O
TRP,"('ZINC000000083315', 'N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O\n')",N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
MLT,"('ZINC000000895264', 'O=C(O)C[C@@H](O)C(=O)O\n')",O=C(O)C[C@@H](O)C(=O)O
CHEMBL4573335,"('ZINC000145402290', 'CC(C)OC(=O)[C@@H](C)N[P@@](=O)(OC[C@@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1\n')",CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O)Oc1ccccc1
3PO,"('ZINC000006827739', 'O=P(O)(O)OP(=O)(O)OP(=O)(O)O\n')",O=P(O)(O)OP(=O)(O)OP(=O)(O)O
